shortname,Jname,FINALNUM,FINAL,Spt_unc,TAGS,Code,Comment,USEVERSION,USECOLOR,Keep/Skip/maintain,extra1,extra2,Disc,Spec,ID,Priority,Type,Dist_J,Dist_W2,RA SXG,DE SXG,Jdesignation,catWISE RA,catWISE Dec,i,ei,z,ez,y,ey,opt ref,W1,eW1,W2,eW2,Y,eY,J,eJ,H,eH,K,eK,NIR ref,plx,eplx,plx_ref,PMRA,ePMRA,PMDE,ePMDE,PM_ref,PMTot,Vtan,Phototype,Spectral Type,SpT_Comments,Spectrum Date,Spectrum Instrument,Spectrum Observers,Submitted Name,SIMBAD,Vizier,IRSA_Finder,GSA,wiseview,BΣ_distance_Checkup,BΣ_distance,BΣ_PROB,BΣ_YMGs,BΣ_Hyp,Date Added,NumType,In BASS UltraCool,Flags,Notes
1457-1817,J145735.96-181711.7,11.5,L1.5,1,d,NewSpec,,,,k,,,CR18,EastonH,930.0,DONE,L1,53.3 pc,48.5 pc,14:57:35.97,-18:17:11.7,J145735.96-181711.7,224.3998687,-18.2865871,,,,,,,,13.833,0.014,13.653,0.014,16.825,0.01,15.651,0.006,14.805,0.076,14.212,0.007,"VHS, 2MASS (H)",19.819,1.141,GaiaDR3,-117.2,1.3,-36.4,1.3,GaiaDR3,122.7,29.3,11.0,L1,reddish,190316.0,SpeX Prism,Faherty,Melina ThÈvenot,SIMBAD,VizieR,FC,GSA,wiseview,OK,30.2,92.1,ARG(83);CARN(16),ARG,180131.0,11.0,,YMG,L1 phototype in Reyle 2018
1513+1824,J151317.74+182440.3,17.0,L7,1,d,NewDisc,young?,,,k,,,EastonH,EastonH,316.0,DONE,L6,53.9 pc,46.5 pc,15:13:17.74, 18:24:40.4,J151317.74+182440.3,228.3239291,18.4112212,,,,,,,,14.768,0.015,14.36,0.017,19.467,0.024,17.31,0.031,16.342,0.018,15.591,0.03,UHS DR3,,,,70.2,2.3,-48.1,2.3,UHS DR3,85.1,18.8,16.9,L6,,220619.0,SpeX Prism,Rothermich,"Dan+Guillaume, Melina T, Frank Kiwy",SIMBAD,VizieR,FC,GSA,wiseview,OK,46.7,98.1,CUMA,CUMA,,16.0,,YMG,
1514+3547,J151456.85+354746.2,12.0,L2,1,d,NewSpec,,,,k,,,CR18,EastonH,932.0,DONE,L2,55.5 pc,50.5 pc,15:14:56.86, 35:47:46.2,J151456.85+354746.2,228.7368993,35.796179,,,,,,,,14.064,0.015,13.845,0.013,17.897,0.009,15.876,0.009,15.075,0.009,14.434,0.01,UHS DR3,18.902,1.046,GaiaDR3,-47.2,0.6,-112.4,1.3,GaiaDR3,121.9,30.6,11.0,L2,blue,190316.0,SpeX Prism,Faherty,Melina ThÈvenot,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,171029.0,12.0,,,L1 phototype in Reyle 2018
1515-0623,J151525.27-062307.2,23.0,T3,2,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,202.0,DONE,T3,27.1 pc,36.8 pc,15:15:25.28,-06:23:07.2,J151525.27-062307.2,228.8553296,-6.3853467,,,,,,,,16.023,0.027,15.059,0.03,17.947,0.07,16.607,0.051,16.24,0.013,16.133,0.037,VHS,,,,-144.7,14.2,-15.3,14.6,NSC DR2,145.5,25.4,21.0,T3,,180402.0,ArcoIRIS,Faherty,"touches, Sam Goodman, Dan+Guillaume, Melina T, Borvo, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,171029.0,23.0,,,in ESO Archive
1523+4052,J152354.79+405206.6,12.0,L2,1,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,680.0,DONE,L2,52.7 pc,45.6 pc,15:23:54.80, 40:52:06.7,J152354.79+405206.6,230.9783182,40.8685254,,,,,,,,13.915,0.013,13.625,0.011,17.855,0.009,15.766,0.009,14.954,0.007,14.351,0.008,UHS DR3,21.127,0.902,GaiaDR3,-85.4,1.1,2.9,2.0,GaiaDR3,85.4,19.2,11.5,L2,,190316.0,SpeX Prism,Faherty,"Melina ThÈvenot, Melina ThÈvenot",SIMBAD,VizieR,FC,GSA,wiseview,OK,42.2,86.0,CRIUS224(79);APW1(21),CRIUS224,180131.0,12.0,,YMG,SpT based on Gaia parallax
1525-0831,J152549.91-083100.8,15.0,L5,1,d,NewDisc,,,,k,,,EastonH,EastonH,1129.0,DONE,L6,27.7 pc,28.0 pc,15:25:49.92,-08:31:00.8,J152549.91-083100.8,231.4579863,-8.5168959,,,,,,,,13.567,0.014,13.258,0.012,17.254,0.017,15.864,0.007,14.915,0.007,14.208,0.007,VHS,,,,-134.2,3.2,6.1,3.1,PS1 (Adam),134.3,17.8,15.3,L6,,220530.0,SpeX Prism,Hamlet,"Sam Goodman, Melina T, Arttu Sainio, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,OK,23.8,93.5,ARG(68);CARN(32),ARG,190106.0,16.0,,YMG,in ESO Archive
1527-0341,J152722.13-034124.5,12.0,L2beta,1,y,NewDisc,,,,k,,,EastonH,EastonH,206.0,DONE,L2,56.4 pc,49.0 pc,15:27:22.13,-03:41:24.5,J152722.13-034124.5,231.8422196,-3.6901425,,,,,,,,14.077,0.014,13.782,0.013,17.11,0.012,15.912,0.006,15.184,0.084,14.522,0.008,"VHS, 2MASS (H)",,,,-65.8,3.0,-259.3,3.0,PS1 (Adam),267.5,62.2,12.5,L2,,220520.0,SpeX Prism,Hamlet,"telmahsel, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180410.0,12.0,,,
1536-0210,J153640.00-021021.1,18.5,L8.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,318.0,DONE,L9,28.6 pc,31.1 pc,15:36:40.00,-02:10:21.1,J153640.00-021021.1,234.166671,-2.1725321,,,,,,,,14.669,0.02,14.12,0.019,18.109,0.022,16.939,0.013,,,15.414,0.016,VHS,,,,-158.3,6.0,-96.3,5.7,unTimely (Adam),185.3,27.3,18.9,L9,sl blue?,190316.0,SpeX Prism,Faherty,"Melina_T, Dan+Guillaume, Sam Goodman, Korso, Andy_Arg, Tom Bickle, Frank Kiwy, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180219.0,19.0,,,
1548-0622,J154840.46-062216.0,15.0,L5,1,b,NewSpec,binary. L2 in goodstuff based on gaia plx,,,k,,,JDK16,EastonH,681.0,DONE,L2,48.0 pc,38.6 pc,15:48:40.46,-06:22:16.0,J154840.46-062216.0,237.1685861,-6.3711229,,,,,,,,13.548,0.014,13.261,0.012,16.828,0.014,15.564,0.007,14.718,0.007,14.086,0.006,VHS,24.365,1.193,GaiaDR3,-206.0,1.3,-123.7,1.0,GaiaDR3,240.3,46.7,12.0,L2,,190315.0,SpeX Prism,Faherty,"stevnbak, Melina ThÈvenot",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,12.0,,,SpT based on Gaia parallax
1551-1315,J155115.62-131558.7,12.0,L2,1,d,NewDisc,,,,k,,,EastonH,EastonH,2553.0,DONE,L4.5,56.5 pc,51.2 pc,15:51:15.62,-13:15:58.8,J155115.62-131558.7,237.8151033,-13.2663281,,,,,,,,14.555,0.015,14.251,0.019,18.045,0.041,16.701,0.018,15.761,0.021,15.124,0.019,VHS,,,,-87.5,6.0,-62.2,5.7,unTimely (Adam),107.3,26.0,14.6,L4.5,,220620.0,SpeX Prism,Rothermich,"Dan Caselden, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,OK,49.2,94.5,VCAN(78);CRIUS207(17),VCAN,201027.0,14.5,,YMG,
1551-4611,J155128.94-461115.5,10.0,L0,2,d,NewSpec,,,,k,,,"CR18, Azul",EastonH,1605.0,DONE,L1,38.8 pc,37.2 pc,15:51:28.94,-46:11:15.5,J155128.94-461115.5,237.8705876,-46.1876499,,,,,,,,13.356,0.033,13.073,0.025,,,14.962,0.005,14.298,0.078,13.845,0.006,"VHS, 2MASS (H)",20.27,0.464,GaiaDR3,-89.0,0.6,-93.3,0.5,GaiaDR3,129.0,30.2,14.8,L1,,210724.0,ArcoIRIS,Burgasser & JC Beamin,Melina_T,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,200424.0,11.0,,,M9.5 (yng) phototype in Reyle 2018
1556+7343,J155606.12+734337.0,8.0,M8,2,d,NewDisc,double check classification,,,k,,,EastonH,EastonH,319.0,DONE,M8,134.2 pc,69.5 pc,15:56:06.12, 73:43:37.0,J155606.12+734337.0,239.0255032,73.7269483,,,,,,,,13.823,0.012,13.517,0.01,16.884,0.019,15.256,0.054,14.433,0.054,14.222,0.062,"2MASS, PS1",20.424,0.392,GaiaDR3,100.6,0.5,-181.6,0.5,GaiaDR3,207.6,48.2,11.0,M8,poor data (M8:),210721.0,Keck NIRES,"Burgasser, Hsu","Melina ThÈvenot, Hugo A. Durantini Luca (Shigeru), Sam Goodman, Dan+Guillaume, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180202.0,8.0,,,SpT based on Gaia parallax
1603+6207,J160338.89+620708.8,13.0,L3,1,d,NewDisc,,,,k,,,EastonH,EastonH,1131.0,DONE,L4,52.5 pc,53.1 pc,16:03:38.89, 62:07:08.8,J160338.89+620708.8,240.912059,62.1191208,,,,,,,,14.495,0.013,14.24,0.013,18.445,0.013,16.327,0.134,15.469,0.145,15.374,0.208,"2MASS, PS1",,,,-113.9,3.1,138.9,3.0,unTimely (Adam),179.6,45.2,16.6,L4,red,220619.0,SpeX Prism,Rothermich,"wpendrill, Melina T",SIMBAD,VizieR,FC,GSA,wiseview,OK,44.4,85.6,CRIUS213(91);CRIUS198(7),CRIUS213,190106.0,14.0,,YMG,in LaTE-MoVeRS
1608-1346,J160821.72-134628.6,7.5,sdM7.5,2,sd,NewSpec,,,,k,,,CR18,EastonH,597.0,DONE,M6,11977.5 pc,277.3 pc,16:08:21.72,-13:46:28.7,J160821.72-134628.6,242.0905026,-13.7746351,,,,,,,,13.946,0.015,13.751,0.016,16.364,0.009,14.931,0.003,14.584,0.059,14.21,0.007,"VHS, 2MASS (H), PS1",11.258,0.282,GaiaDR3,-140.8,0.3,-243.0,0.2,GaiaDR3,280.9,118.3,8.8,M6,M7 VL-G 1n22 with the Allers scheme; M6gamma type,180616.0,SpeX Prism,Jonathan;Michaela,"telmahsel, Herakles",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,6.0,,,M7 phototype in Reyle 2018
1608-3604,J160858.84-360447.9,27.0,sdT7,2,sd,NewSpec,see Y band. blueT6 in K23,,,k,,,JDK23,EastonH,3437.0,DONE,T6,39.5 pc,31.4 pc,16:08:58.85,-36:04:48.0,J160858.84-360447.9,242.2452027,-36.0799871,,,,,,,,18.046,0.164,15.296,0.04,,,17.871,0.038,,,,,VHS,,,,-60.6,27.5,-133.8,26.1,unTimely (Adam),146.9,21.9,27.5,T6,,230302.0,ArcoIRIS,Schneider,Tom Bickle,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,211008.0,26.0,,,blended
1628+0340,J162847.68+034017.9,25.5,T5.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,220.0,DONE,T5,27.9 pc,29.5 pc,16:28:47.69, 03:40:18.0,J162847.68+034017.9,247.1986934,3.6716636,,,,,,,,16.936,0.052,14.911,0.026,19.572,0.048,16.743,0.016,17.134,0.04,,,UHS DR3,,,,-148.7,2.9,96.5,2.9,UHS (Adam),177.2,24.8,24.2,T5,,180401.0,ArcoIRIS,Faherty,"touches, NibiruX, Vidar87, Sam Goodman, Arttu Sainio, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180213.0,25.0,,COLOR_OUTLIER,
1638-0742,J163857.95-074210.2,27.5,d/sdT7.5,1,sd,NewDisc,,,,k,,,EastonH,EastonH,1504.0,DONE,T7,44.1 pc,36.3 pc,16:38:57.96,-07:42:10.2,J163857.95-074210.2,249.7414944,-7.7028468,,,,,,,,18.967,0.0,15.944,0.065,,,18.825,0.131,,,,,VHS,,,,-632.7,81.9,44.8,91.5,CatWISE2020,634.2,109.0,29.0,T7,,200214.0,FIRE Prism,Schneider,"zbyszek_w, guyepeak, Arttu Sainio, Sam Goodman, Tom Bickle, Melina Thevenot, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,191027.0,27.0,,,
1639-3401,J163943.41-340136.0,19.5,L9.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,1360.0,DONE,T0,24.5 pc,28.3 pc,16:39:43.41,-34:01:36.0,J163943.41-340136.0,249.9308931,-34.0266754,,,,,,,,14.701,0.023,14.085,0.023,,,16.674,0.018,15.721,0.171,15.227,0.018,"VHS, 2MASS (H)",,,,-191.7,7.8,-393.9,7.4,unTimely (Adam),438.1,58.8,16.9,T0,doesn't look young,200720.0,Keck NIRES,"Burgasser, Hsu, Aganze","Vidar87, Arttu Sainio, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,191027.0,20.0,,,
1641-1719,J164109.72-171924.3,16.0,L6,1,d,NewSpec,,,,k,,,JDK23,EastonH,2573.0,DONE,L6,27.2 pc,25.8 pc,16:41:09.72,-17:19:24.4,J164109.72-171924.3,250.2905054,-17.3234338,,,,,,,,13.418,0.014,13.076,0.012,,,15.826,0.009,14.933,0.07,14.214,0.007,"VHS, 2MASS (H)",,,,69.5,2.7,-18.0,2.6,unTimely (Adam),71.8,8.8,16.3,L6,,240613.0,SpeX Prism,Rothermich,"Dan Caselden, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,16.0,,,
1649+2822,J164902.68+282216.6,11.0,L1,1,d,NewDisc,,,,k,,,EastonH,EastonH,1609.0,DONE,L1,35.4 pc,33.4 pc,16:49:02.68, 28:22:16.6,J164902.68+282216.6,252.2611828,28.3712789,,,,,,,,13.029,0.012,12.843,0.01,,,14.76,0.005,14.036,0.004,13.446,0.004,UHS DR3,28.477,0.306,GaiaDR3,-270.3,0.3,28.1,0.3,GaiaDR3,271.8,45.2,12.3,L1,,220308.0,SpeX Prism,"Calamari, Hamlet","Melina_T, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,200424.0,11.0,,,
1656-1422,J165626.12-142255.4,10.5,L0.5,1,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,938.0,DONE,L0,37.1 pc,31.1 pc,16:56:26.13,-14:22:55.5,J165626.12-142255.4,254.1088645,-14.3820798,,,,,,,,12.8,0.013,12.545,0.011,16.699,0.01,14.653,0.003,13.866,0.035,13.232,0.004,"VHS, 2MASS (H), PS1",29.206,0.383,GaiaDR3,-43.3,0.5,-65.6,0.3,GaiaDR3,78.6,12.8,10.0,L0,,220308.0,SpeX Prism,"Calamari, Hamlet","planetsam, Melina ThÈvenot",SIMBAD,VizieR,FC,GSA,wiseview,OK,26.7,93.4,ARG(88);CRIUS207(11),ARG,180614.0,10.0,,YMG,SpT based on Gaia parallax
1659-3511,J165909.91-351108.5,17.0,L7,1,d,maintain,,,,m,r,,GR23a,GR23a,2586.0,DONE,L7,42.8 pc,22.7 pc,16:59:09.91,-35:11:08.6,J165909.91-351108.5,254.7913023,-35.1857202,,,,,,,,13.541,0.015,13.03,0.013,,,17.254,0.041,,,14.879,0.017,VHS,,,,-157.8,2.0,-172.6,2.0,VHS (Adam),233.8,25.2,17.0,L7,red/young?,230428.0,ArcoIRIS,Schneider,"Dan Caselden, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,17.0,,COLOR_OUTLIER,red
1701-3630,J170103.70-363030.8,17.5,L7.5,2,d,NewDisc,,,,k,,,EastonH,EastonH,3627.0,DONE,L6,17.4 pc,24.6 pc,17:01:03.71,-36:30:30.8,J170103.70-363030.8,255.2654482,-36.5085638,,,,,,,,14.16,0.019,12.973,0.01,,,14.858,0.047,14.069,0.056,13.698,0.064,2MASS,,,,305.0,3.5,92.3,3.3,unTimely (Adam),318.7,37.1,23.5,L6,,220611.0,Keck NIRES,"Burgasser, Hsu, Softich","Plane Party, Les Hamlet, Vidar87",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,220422.0,16.0,,,"really blended, spectral type uncertain"
1716+0618,J171603.36+061832.4,11.0,L1,1,d,NewDisc,,,,k,,,EastonH,EastonH,326.0,DONE,L1,55.4 pc,43.2 pc,17:16:03.37, 06:18:32.5,J171603.36+061832.4,259.0140348,6.309019,,,,,,,,13.652,0.018,13.401,0.016,17.938,0.012,15.736,0.009,,,,,"UHS DR3, PS1",27.373,1.974,GaiaDR3,-231.2,2.1,-154.7,1.2,GaiaDR3,278.2,48.2,12.8,L1,red (beta?),240812.0,SpeX Prism,"Rothermich, Bickle","Kybernetiker, Dan+Guillaume, MelinaT, Herakles, mar.bil",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180227.0,11.0,,,
1721-0643,J172138.58-064311.4,12.0,L2,1,d,NewDisc,,,,k,,,EastonH,EastonH,2603.0,DONE,L2,72.0 pc,56.9 pc,17:21:38.58,-06:43:11.5,J172138.58-064311.4,260.4107662,-6.7198597,,,,,,,,14.381,0.015,14.106,0.018,,,16.444,0.011,15.424,0.096,14.978,0.012,"VHS, 2MASS (H)",,,,122.3,4.3,-101.9,4.3,PS1 (Adam),159.2,42.9,14.6,L2,,240812.0,SpeX Prism,"Rothermich, Bickle","Dan Caselden, Tristan Danisch",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,12.0,,,
1722-4449,J172249.66-444940.9,15.0,L5,1,d,NewSpec,binary??,,,k,,,JDK23,EastonH,3177.0,DONE,L4,42.0 pc,27.7 pc,17:22:49.67,-44:49:41.0,J172249.66-444940.9,260.7069391,-44.8280467,,,,,,,,13.068,0.013,12.826,0.01,,,15.842,0.009,14.408,0.053,15.199,0.017,"VHS, 2MASS (H)",36.133,1.291,GaiaDR3,-161.5,1.9,-290.2,1.5,GaiaDR3,332.1,43.6,15.6,L4,H-band bump?,230416.0,ArcoIRIS,Schneider,"MelinaT, Tom Bickle, mar.bil",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,210312.0,14.0,,,Blended in WISE -- phototype uncertain
1725+1058,J172520.72+105804.1,10.5,L0.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,695.0,DONE,L0,55.3 pc,51.9 pc,17:25:20.73, 10:58:04.2,J172520.72+105804.1,261.3363599,10.9678318,,,,,,,,13.966,0.013,13.662,0.013,17.498,0.015,15.523,0.007,14.922,0.009,14.41,0.009,"UHS DR3, PS1",17.364,0.606,GaiaDR3,-34.6,0.7,-70.2,0.6,GaiaDR3,78.3,21.4,10.0,L0,blue,230730.0,SpeX Prism,Rothermich,"peter jalowiczor, Melina ThÈvenot",SIMBAD,VizieR,FC,GSA,wiseview,OK,34.4,81.1,COH59(93);CRIUS135(5),COH59,171228.0,10.0,,YMG,SpT based on Gaia parallax
1727-0111,J172759.50-011113.8,14.0,L4,2,d,NewDisc,,,,k,,,EastonH,EastonH,482.0,DONE,L5,26.0 pc,27.9 pc,17:27:59.50,-01:11:13.8,J172759.50-011113.8,261.9979245,-1.1871681,,,,,,,,13.393,0.032,13.032,0.025,17.466,0.019,15.251,0.006,14.415,0.05,13.909,0.005,"VHS, 2MASS (H), PS1",41.857,1.105,GaiaDR3,307.6,1.2,-315.3,0.8,GaiaDR3,440.5,49.9,15.6,L5,,180928.0,APO Triplespec,Katelyn,"telmahsel, stevnbak, Melina ThÈvenot, Sam Goodman, Herakles, Karl Selg-Mann, Arttu Sainio, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,15.0,,,
1734-4813,J173453.84-481359.1,14.0,L4gamma,2,y,NewSpec,need to confirm youth,,,k,r,,ACS17,ACS17,940.0,DONE,L7,25.5 pc,18.1 pc,17:34:53.84,-48:13:59.1,J173453.84-481359.1,263.7243464,-48.233094,,,,,,,,12.944,0.012,12.535,0.01,,,16.124,0.011,14.865,0.075,13.986,0.006,"VHS, 2MASS (H)",37.9,2.9,Kirk21,-126.5,2.4,-230.0,2.4,Kirk21,262.5,32.8,16.4,L7,red/young!,200213.0,FIRE Prism,Schneider,"Vidar87, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,OK,18.8,82.8,CARN,CARN,171029.0,17.0,,YMG,
1757+1142,J175742.03+114249.3,11.0,L1,2,d,NewDisc,,,,k,,,EastonH,EastonH,1366.0,DONE,L1:,48.8 pc,39.9 pc,17:57:42.04, 11:42:49.4,J175742.03+114249.3,269.425156,11.7137122,,,,,,,,13.453,0.012,13.228,0.01,17.544,0.019,15.461,0.009,14.746,0.007,13.845,0.066,"UHS DR3, 2MASS (K), PS1",24.452,0.689,GaiaDR3,-32.6,0.6,140.8,0.6,GaiaDR3,144.5,28.0,11.9,L1:,not great data,210721.0,Keck NIRES,Burgasser & Hsu,"Hugo A. Durantini Luca (Shigeru), Melina ThÈvenot, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,191027.0,11.0,,,
1757+5548,J175747.34+554817.2,22.5,T2.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,329.0,DONE,T3,29.0 pc,28.3 pc,17:57:47.34, 55:48:17.3,J175747.34+554817.2,269.4472485,55.8047931,,,,,,,,15.076,0.015,14.486,0.014,19.093,0.057,16.757,0.018,16.102,0.189,15.201,0.0,"UHS DR3 (J), 2MASS reject, PS1",,,,96.9,4.7,21.2,4.5,unTimely (Adam),99.2,13.3,18.4,T3,,240812.0,SpeX Prism,"Rothermich, Bickle","Melina_T, Dan+Guillaume, Arttu Sainio, Sam Goodman, Karl Selg-Mann",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,23.0,,,blended in WISE
1805+5634,J180547.25+563417.2,16.0,L6,2,d,NewDisc,,,,k,,,EastonH,EastonH,1272.0,DONE,L5.5,47.9 pc,45.0 pc,18:05:47.25, 56:34:17.2,J180547.25+563417.2,271.4468852,56.5714524,,,,,,,,14.471,0.014,14.177,0.012,19.044,0.046,16.814,0.02,15.924,0.02,15.221,0.018,UHS DR3,,,,10.1,1.8,158.0,1.8,UHS DR3,158.4,33.8,15.2,L5.5,blue,240613.0,SpeX Prism,Rothermich,"NicholastheElder, wpendrill",SIMBAD,VizieR,FC,GSA,wiseview,OK,44.4,99.8,CRIUS198,CRIUS198,190501.0,15.5,,YMG,
1807-0048,J180700.12-004840.8,6.5,M6.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,331.0,DONE,M7,691.6 pc,144.0 pc,18:07:00.13,-00:48:40.8,J180700.12-004840.8,271.7505301,-0.8113367,,,,,,,,14.258,0.037,14.104,0.037,16.923,0.007,15.369,0.006,15.294,0.113,14.515,0.009,"VHS, 2MASS (H), PS1",10.385,0.445,GaiaDR3,-94.9,0.5,-211.4,0.4,GaiaDR3,231.7,105.8,19.8,M7,Weird J band,180616.0,SpeX Prism,Jonathan;Michaela,Dan+Guillaume,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,7.0,,,
1810-0657A,J181008.39-065736.8,5.0,sdM5,1,sd,NewDisc,note binary/comoving!,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810-0657B,J181008.39-065736.8,8.0,d/sdM8,1,sd,NewDisc,note binary/comoving!,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814-2025,J181429.08-202534.4,8.0,M8,1,d,maintain,,,,k,r,diff spec (2021 vs 2022) with same result. confirms K23,JDK23,JDK23,3461.0,DONE,M8,41.1 pc,23.2 pc,18:14:29.08,-20:25:34.5,J181429.08-202534.4,273.6211663,-20.4262394,,,,,,,,11.293,0.011,11.133,0.008,,,12.688,0.001,12.255,0.001,11.767,0.001,UKIDSS GPS,47.596,0.129,GaiaDR3,-155.1,0.1,-415.7,0.1,GaiaDR3,443.7,44.2,10.5,M8,,20220907.0,Keck NIRES,Burgasser & Gerasimov,Herakles,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,211008.0,8.0,,,
1819+6600,J181949.34+660057.5,12.0,L2,1,d,NewSpec,in euclid Q1 (https://ui.adsabs.harvard.edu/abs/2025arXiv250322559M/abstract),,,k,,,DS21,AM25,948.0,DONE,L3,40.9 pc,35.2 pc,18:19:49.35, 66:00:57.6,J181949.34+660057.5,274.9556081,66.0159995,,,,,,,,13.337,0.036,13.185,0.026,17.617,0.01,15.438,0.061,14.599,0.063,14.134,0.056,"2MASS, PS1",28.338,0.692,GaiaDR3,-39.7,1.0,173.2,0.9,GaiaDR3,177.6,29.7,13.0,L3,blue,190316.0,SpeX Prism,Faherty,"stevnbak, fkiwy, Sam Goodman, Melina ThÈvenot",SIMBAD,VizieR,FC,GSA,wiseview,OK,15.7,85.3,CRIUS227,CRIUS227,,13.0,,YMG,SpT based on Gaia parallax
1837+2103,J183733.48+210310.0,12.0,L2,1,d,NewDisc,,,,k,,,EastonH,EastonH,951.0,DONE,L2,44.4 pc,37.2 pc,18:37:33.49, 21:03:10.0,J183733.48+210310.0,279.3895358,21.0527809,,,,,,,,13.477,0.013,13.18,0.011,17.526,0.007,15.391,0.007,14.633,0.006,13.993,0.007,UHS DR3,22.072,0.824,GaiaDR3,87.9,0.5,92.5,0.7,GaiaDR3,127.6,27.4,10.5,L2,sl blue,230704.0,SpeX Prism,Calamari ,"stevnbak, Hugo A. Durantini Luca (Shigeru), Melina ThÈvenot, Karl Selg-Mann, wpendrill, Herakles",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,171221.0,12.0,,,SpT based on Gaia parallax
1847+1144,J184709.09+114445.7,8.0,M8,1,d,NewDisc,,,,k,,,EastonH,EastonH,1616.0,DONE,M8,111.5 pc,68.9 pc,18:47:09.09, 11:44:45.7,J184709.09+114445.7,281.7878854,11.7460372,,,,,,,,13.74,0.046,13.498,0.037,,,14.852,0.005,14.293,0.005,13.811,0.006,UHS DR3,20.379,0.334,GaiaDR3,-4.7,0.3,-235.5,0.4,GaiaDR3,235.6,54.8,13.1,M8,,230730.0,SpeX Prism,Rothermich,"peter jalowiczor, Karl Selg-Mann",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,200424.0,8.0,,,
1849-2359,J184959.07-235934.6,7.0,M7,2,d,NewDisc,,,,k,,,EastonH,EastonH,953.0,DONE,M7,254.4 pc,50.0 pc,18:49:59.08,-23:59:34.6,J184959.07-235934.6,282.4961563,-23.9929499,,,,,,,,12.024,0.014,11.806,0.011,14.599,0.004,13.197,0.002,,,12.508,0.002,"VHS, PS1",31.27,0.121,GaiaDR3,276.1,0.2,-326.8,0.1,GaiaDR3,427.8,64.9,7.5,M7,,190315.0,SpeX Prism,Faherty,"NicholastheElder, Melina ThÈvenot",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,171228.0,7.0,,,SpT based on Gaia parallax
1853-5406,J185316.77-540658.0,25.0,T5,1,d,NewSpec,,,,k,,,JDK23,EastonH,3464.0,DONE,T5,19.4 pc,19.1 pc,18:53:16.78,-54:06:58.1,J185316.77-540658.0,283.3199067,-54.1161292,,,,,,,,15.89,0.032,13.967,0.017,,,15.952,0.007,16.167,0.206,16.301,0.041,"VHS, 2MASS (H)",,,,19.3,10.8,38.3,10.3,unTimely (Adam),42.9,3.9,25.3,T5,,230304.0,ArcoIRIS,Schneider,Les Hamlet,SIMBAD,VizieR,FC,GSA,wiseview,OK,19.8,98.9,CUMA,CUMA,211008.0,25.0,,YMG,
